Date,Open,High,Low,Close,Adj Close,Volume
"Feb 21, 2025","76,790.13","77,968.70","76,618.02","77,615.27","77,615.27","24,99,56,65,377"
"Feb 20, 2025","75,673.04","76,946.93","75,332.80","76,792.45","76,792.45","23,03,78,87,028"
"Feb 19, 2025","75,885.14","76,735.03","74,144.57","75,678.59","75,678.59","29,56,63,75,057"
"Feb 18, 2025","76,427.59","77,078.23","75,391.74","75,884.80","75,884.80","21,65,97,60,564"
"Feb 17, 2025","77,534.04","77,649.34","76,339.85","76,424.43","76,424.43","13,14,07,50,771"
"Feb 16, 2025","77,406.05","77,776.50","77,193.16","77,533.93","77,533.93","13,54,51,61,138"
"Feb 15, 2025","76,901.19","78,369.97","76,388.09","77,406.52","77,406.52","25,95,69,70,220"
"Feb 14, 2025","78,621.30","78,763.88","76,049.05","76,901.59","76,901.59","29,56,50,00,775"
"Feb 13, 2025","76,900.84","78,874.36","75,983.43","78,618.99","78,618.99","39,62,87,65,636"
"Feb 12, 2025","78,834.27","79,688.44","76,258.28","76,902.23","76,902.23","30,11,01,65,971"
"Feb 11, 2025","77,887.71","79,360.71","76,979.68","78,833.80","78,833.80","32,42,66,86,102"
"Feb 10, 2025","77,791.82","78,472.30","76,561.84","77,888.22","77,888.22","22,38,40,84,763"
"Feb 9, 2025","77,830.62","78,095.81","77,135.92","77,792.73","77,792.73","18,09,91,93,610"
"Feb 8, 2025","77,672.82","80,377.30","77,120.51","77,827.25","77,827.25","44,94,18,05,620"
"Feb 7, 2025","77,283.68","79,816.35","76,951.20","77,682.46","77,682.46","36,43,32,44,594"
"Feb 6, 2025","78,446.78","79,230.80","76,922.84","77,287.52","77,287.52","39,29,82,72,697"
"Feb 5, 2025","81,539.78","81,880.70","77,096.17","78,441.81","78,441.81","58,50,93,82,311"
"Feb 4, 2025","79,478.42","82,392.38","74,334.22","81,545.17","81,545.17","92,79,96,31,924"
"Feb 3, 2025","81,221.27","81,841.87","78,146.13","79,484.84","79,484.84","51,33,47,82,966"
"Feb 2, 2025","82,576.29","82,860.88","80,927.71","81,216.73","81,216.73","22,39,71,91,749"
"Feb 1, 2025","84,312.59","85,374.54","81,896.77","82,578.09","82,578.09","36,87,83,06,654"
"Jan 31, 2025","83,260.55","85,370.30","82,944.14","84,310.77","84,310.77","33,74,17,13,267"
"Jan 30, 2025","81,440.04","84,170.20","81,412.95","83,255.63","83,255.63","38,07,96,82,827"
"Jan 29, 2025","81,994.77","83,390.87","80,555.02","81,452.05","81,452.05","37,92,43,06,807"
"Jan 28, 2025","82,413.37","82,882.79","78,560.75","81,988.56","81,988.56","71,48,28,98,354"
"Jan 27, 2025","83,874.55","84,455.62","82,278.33","82,415.13","82,415.13","18,09,38,02,944"
"Jan 26, 2025","83,993.61","84,299.54","83,399.70","83,875.70","83,875.70","19,13,49,18,975"
"Jan 25, 2025","84,159.27","85,782.94","82,968.76","83,989.97","83,989.97","41,97,77,45,122"
"Jan 24, 2025","84,182.16","86,685.45","82,148.33","84,154.82","84,154.82","84,27,16,68,298"
"Jan 23, 2025","86,024.28","86,108.41","83,887.30","84,178.42","84,178.42","43,75,53,86,762"
"Jan 22, 2025","82,753.92","86,871.43","81,509.45","86,032.29","86,032.29","71,91,94,29,452"
"Jan 21, 2025","83,025.65","89,295.91","81,669.07","82,724.80","82,724.80","1,02,39,95,59,776"
"Jan 20, 2025","85,804.57","87,309.87","81,867.88","83,030.45","83,030.45","63,07,17,91,744"
"Jan 19, 2025","85,509.49","86,149.80","83,936.74","85,801.92","85,801.92","41,45,59,37,201"
"Jan 18, 2025","81,749.66","87,018.20","81,701.63","85,786.32","85,786.32","59,03,66,62,130"
"Jan 17, 2025","82,093.43","82,338.86","79,859.00","81,529.92","81,529.92","44,21,82,63,416"
"Jan 16, 2025","79,055.98","82,293.61","79,091.69","82,092.77","82,092.77","47,21,62,83,060"
"Jan 15, 2025","77,274.77","79,915.44","77,241.36","79,055.98","79,055.98","44,03,43,53,393"
"Jan 14, 2025","77,426.66","78,557.40","73,488.11","77,272.74","77,272.74","59,66,45,63,853"
"Jan 13, 2025","77,465.31","78,122.13","76,766.38","77,426.29","77,426.29","17,11,38,19,326"
"Jan 12, 2025","77,541.05","77,802.78","76,870.85","77,466.02","77,466.02","15,45,02,59,759"
"Jan 11, 2025","75,206.72","78,357.31","75,377.27","77,541.55","77,541.55","50,81,36,58,388"
"Jan 10, 2025","76,905.01","77,129.82","74,098.23","75,198.22","75,198.22","51,04,38,14,819"
"Jan 9, 2025","77,687.73","77,942.43","74,950.10","76,905.04","76,905.04","51,68,55,34,704"
"Jan 8, 2025","81,733.84","82,113.80","77,023.97","77,686.55","77,686.55","47,03,84,38,703"
"Jan 7, 2025","79,128.70","81,833.70","78,732.82","81,597.34","81,597.34","41,42,56,82,814"
"Jan 6, 2025","79,074.27","79,550.34","78,315.88","79,128.70","79,128.70","16,51,97,30,820"
"Jan 5, 2025","78,972.11","79,477.16","78,539.40","79,076.14","79,076.14","17,98,48,83,456"
